date,value
2024-11-01,22
2024-11-02,18
2024-11-03,19
2024-11-04,19
2024-11-05,21
2024-11-06,79
2024-11-07,49
2024-11-08,37
2024-11-09,31
2024-11-10,55
2024-11-11,80
2024-11-12,89
2024-11-13,85
2024-11-14,65
2024-11-15,49
2024-11-16,43
2024-11-17,39
2024-11-18,43
2024-11-19,44
2024-11-20,49
2024-11-21,73
2024-11-22,77
2024-11-23,51
2024-11-24,47
2024-11-25,51
2024-11-26,49
2024-11-27,45
2024-11-28,38
2024-11-29,39
2024-11-30,33
2024-12-01,33
2024-12-02,40
2024-12-03,36
2024-12-04,42
2024-12-05,100
2024-12-06,61
2024-12-07,43
2024-12-08,41
2024-12-09,44
2024-12-10,46
2024-12-11,42
2024-12-12,42
2024-12-13,36
2024-12-14,32
2024-12-15,35
2024-12-16,51
2024-12-17,45
2024-12-18,44
2024-12-19,48
2024-12-20,56
2024-12-21,36
2024-12-22,34
2024-12-23,38
2024-12-24,39
2024-12-25,35
2024-12-26,37
2024-12-27,35
2024-12-28,29
2024-12-29,30
2024-12-30,34
2024-12-31,31
2025-01-01,32
2025-01-02,35
2025-01-03,32
2025-01-04,29
2025-01-05,26
2025-01-06,36
2025-01-07,37
2025-01-08,34
2025-01-09,35
2025-01-10,32
2025-01-11,25
2025-01-12,25
2025-01-13,34
2025-01-14,31
2025-01-15,33
2025-01-16,31
2025-01-17,41
2025-01-18,34
2025-01-19,39
2025-01-20,61
2025-01-21,48
2025-01-22,39
2025-01-23,41
2025-01-24,39
2025-01-25,29
2025-01-26,28
2025-01-27,42
2025-01-28,35
2025-01-29,31
2025-01-30,30
2025-01-31,29
