date,value
2023-11-01,33
2023-11-02,36
2023-11-03,36
2023-11-04,29
2023-11-05,32
2023-11-06,31
2023-11-07,36
2023-11-08,32
2023-11-09,44
2023-11-10,43
2023-11-11,35
2023-11-12,34
2023-11-13,35
2023-11-14,37
2023-11-15,36
2023-11-16,35
2023-11-17,32
2023-11-18,32
2023-11-19,28
2023-11-20,33
2023-11-21,31
2023-11-22,34
2023-11-23,31
2023-11-24,33
2023-11-25,29
2023-11-26,27
2023-11-27,29
2023-11-28,30
2023-11-29,31
2023-11-30,30
2023-12-01,33
2023-12-02,34
2023-12-03,35
2023-12-04,58
2023-12-05,57
2023-12-06,58
2023-12-07,45
2023-12-08,45
2023-12-09,41
2023-12-10,36
2023-12-11,46
2023-12-12,38
2023-12-13,37
2023-12-14,38
2023-12-15,35
2023-12-16,33
2023-12-17,32
2023-12-18,36
2023-12-19,37
2023-12-20,39
2023-12-21,40
2023-12-22,38
2023-12-23,36
2023-12-24,31
2023-12-25,35
2023-12-26,39
2023-12-27,37
2023-12-28,38
2023-12-29,36
2023-12-30,32
2023-12-31,30
2024-01-01,34
2024-01-02,53
2024-01-03,59
2024-01-04,47
2024-01-05,48
2024-01-06,40
2024-01-07,39
2024-01-08,54
2024-01-09,63
2024-01-10,90
2024-01-11,100
2024-01-12,64
2024-01-13,49
2024-01-14,41
2024-01-15,44
2024-01-16,42
2024-01-17,38
2024-01-18,40
2024-01-19,40
2024-01-20,33
2024-01-21,31
2024-01-22,38
2024-01-23,42
2024-01-24,37
2024-01-25,36
2024-01-26,33
2024-01-27,28
2024-01-28,28
2024-01-29,31
2024-01-30,33
2024-01-31,31
